OBJECTID,DIVISION_NUM,YEAR,DIVISION_SCORE,Shape__Area,Shape__Length
1906,5312,2018,1.74358974358974,2076285.29571533,6483.14936578542
1907,2213,2018,2.32456140350877,1065253.86547852,4343.41593572372
1908,6402,2018,1.48888888888889,2820928.82647705,6805.14253151484
1909,5408,2018,2.03921568627451,1023979.15673828,4631.5735646406
1910,4918,2018,1.72727272727273,2521456.49554443,6824.14934410317
1911,1706,2018,2.24561403508772,971891.898986816,4173.57245537763
1912,3505,2018,1.78861788617886,1790955.17828369,6284.30147115605
1913,3509,2018,1.81481481481481,1351902.58477783,6159.88100026843
1914,6117,2018,1.66137566137566,2328109.30761719,6606.2258849209
1915,5314,2018,1.87719298245614,2042433.17852783,7135.11462599214
1916,1201,2018,2.26356589147287,882504.889831543,4651.23002412278
1917,6505,2018,1.66666666666667,872016.222717285,3938.97928494008
1918,2214,2018,1.80666666666667,2118516.31414795,6167.94592323731
1919,6127,2018,1.85507246376812,950891.140441895,4677.53387215108
1920,5422,2018,1.76,986150.874450684,4223.66797605397
1921,5913,2018,1.88888888888889,1178142.85534668,5889.6069246548
1922,1705,2018,2.01801801801802,901075.769165039,4045.06453167347
1923,3510,2018,1.91812865497076,1594258.41583252,6544.22664535822
1924,1704,2018,2.23423423423423,1067761.03582764,4459.12381169604
1925,5418,2018,2.10606060606061,1017587.72344971,4734.06338269675
1926,5910,2018,1.90821256038647,1687281.69958496,6262.20245274706
1927,3506,2018,1.76495726495726,2821730.99316406,7592.40868481102
1928,2142,2018,1.43859649122807,2156834.73138428,6578.57743208742
1929,2138,2018,1.43137254901961,3476848.23223877,8158.74820342298
1930,2205,2018,1.37414965986395,3002790.05187988,7643.72157486208
1931,4906,2018,1.58974358974359,2059316.30615234,6382.3528558841
1932,6118,2018,2.01092896174863,2056856.11151123,7304.76520964834
1933,6509,2018,1.49685534591195,2027135.66094971,6605.48407899724
1934,5421,2018,1.64583333333333,1076247.59619141,4259.20635508689
1935,5712,2018,1.64341085271318,1636071.56262207,6302.9901744185
1936,6121,2018,1.69523809523809,3336614.80169678,10101.6544012849
1937,5701,2018,1.62162162162162,2729215.47729492,8867.91667151931
1938,5703,2018,1.54901960784314,2792661.94732666,7718.68513697363
1939,5632,2018,1.49122807017544,1748546.79364014,5921.10188697142
1940,5610,2018,1.59259259259259,1410077.08642578,4756.25281043251
1941,2226,2018,1.52173913043478,2166385.78515625,7594.49381226924
1942,2216,2018,1.72357723577236,1394281.97515869,6200.41507453975
1943,3503,2018,1.62365591397849,2317408.19171143,8899.83853633726
1944,1023,2018,1.79487179487179,1089314.33380127,5405.06217708262
1945,5321,2018,1.68888888888889,2021924.89422607,6950.04288592347
1946,5637,2018,1.53741496598639,1950063.84484863,6607.31573619418
1947,5633,2018,1.64646464646465,3043446.78063965,10273.9693738462
1948,1019,2018,2.13333333333333,1993829.13952637,6554.16028989286
1949,1017,2018,1.74358974358974,850989.36706543,4154.41949957593
1950,6122,2018,1.52845528455285,2353096.07128906,6749.67150315168
1951,2227,2018,1.44144144144144,1311942.78265381,5092.84040000497
1952,2217,2018,1.62790697674419,1807762.53015137,5832.72292257153
1953,1018,2018,1.82795698924731,730564.155883789,4321.63910129202
1954,1022,2018,1.80246913580247,630248.955932617,3477.89472489727
1955,5320,2018,1.71604938271605,3042723.34973145,8041.42762987428
1956,5717,2018,1.94871794871795,2621631.24328613,8727.32523976518
1957,2228,2018,1.59349593495935,1810322.05780029,5396.15668453369
1958,2219,2018,1.65891472868217,1272288.32220459,6104.21052474698
1959,5614,2018,1.63934426229508,1972652.00830078,8206.39013521129
1960,5713,2018,1.35042735042735,8595267.30157471,14540.5830910807
1961,3502,2018,1.60283687943262,2583967.58331299,7265.43960172206
1962,5613,2018,1.61111111111111,1766735.23944092,7095.85151290658
1963,5602,2018,1.65151515151515,1540970.56530762,5715.04051456544
1964,2218,2018,1.64285714285714,713219.134094238,3807.16613598915
1965,1026,2018,1.94117647058824,864582.449523926,5624.61824931621
1966,0913,2018,1.54901960784314,1378307.27435303,5594.49399899924
1967,5728,2018,1.84313725490196,2502875.39935303,8147.00599750608
1968,5714,2018,1.43434343434343,3455996.809021,8072.52191112012
1969,6418,2018,1.45454545454545,2876501.9453125,7340.3585692054
1970,2220,2018,1.54166666666667,1013895.20526123,4951.25803409322
1971,5603,2018,1.75238095238095,1216631.47900391,5229.48181383939
1972,2211,2018,1.82352941176471,1544817.6237793,5411.77360400106
1973,5901,2018,2.25,1785308.17578125,6497.83856380427
1974,1016,2018,2.0952380952381,1065609.34716797,5120.20119843603
1975,1021,2018,1.81481481481481,1216174.95483398,4703.59944164748
1976,1027,2018,2.0251572327044,1180889.38934326,5292.4137248969
1977,1009,2018,2.0625,784627.597106934,3541.31813313169
1978,1010,2018,2.05882352941176,806686.883972168,4395.13652064085
1979,6123,2018,1.67407407407407,2986456.59069824,7341.91687408678
1980,2229,2018,1.42105263157895,2700470.32836914,6624.70073432112
1981,5718,2018,1.64341085271318,6060636.64654541,12522.0813359192
1982,2130,2018,1.56462585034014,3353567.70544434,9409.46366715599
1983,6124,2018,1.65714285714286,1670697.17919922,5288.615790135
1984,2222,2018,1.88333333333333,1421937.25744629,7050.91095580833
1985,2206,2018,1.45736434108527,2580400.48846436,6839.2699628925
